Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	39	8	0	7	11	0	100	36	44	262	0	35	11	1	149	32	64	294	0	214	45
500	20	3	0	11	11	0	4	337	14	5	0	287	7	228	3	347	57	855	0	786	310
750	35	4	0	5	15	0	0	636	29	3	0	525	16	638	0	655	64	1447	1	1372	578
1000	23	8	0	12	13	3	2	937	7	11	0	743	15	641	1	952	6	2009	0	1958	852
1250	13	4	0	1	0	0	0	1251	54	4	0	843	3	790	0	1297	63	2641	0	2532	1138
1500	18	2	0	2	0	0	0	1575	0	0	0	1125	1	1044	0	1611	20	3224	0	3112	1388
1750	5	9	0	2	1	0	0	1943	63	0	0	1312	2	1251	0	2042	92	3819	1	3711	1672
2000	10	61	0	2	11	2	3	2620	25	5	0	1637	9	1497	0	2767	7	4361	0	4275	1927
2250	14	8	0	14	2	0	0	3380	79	0	0	2000	3	2078	1	3602	9	4963	0	4879	2196
2500	6	8	0	0	4	0	0	3979	12	1	0	2872	52	2709	0	4429	139	5714	0	5499	2509
2750	24	10	0	6	48	0	0	4511	5	0	0	3863	2	3696	0	4853	7	6306	0	6244	2749
3000	12	7	0	2	2	0	0	4950	2	1	0	4913	1	4930	0	5259	6	7039	0	6946	3041
3250	15	9	0	9	0	0	0	5365	3	6	0	5911	1	5781	0	5680	15	7694	0	7606	3303
3500	22	7	0	1	0	1	0	5773	12	1	0	6517	47	6366	0	6113	13	8305	0	8543	3564
3750	11	131	0	11	49	0	0	6159	3	5	0	6969	3	6829	0	6535	196	9057	0	8859	3983
4000	11	8	0	1	3	0	0	6577	2	4	0	7442	5	7283	71	6946	7	9517	0	9536	4116
4250	21	19	0	0	3	0	0	6967	168	2	0	7904	2	7723	0	7391	9	10152	0	10059	4383
4500	14	16	0	0	2	0	0	7361	1	1	0	8435	51	8187	0	7839	6	10735	0	10697	4641
4750	16	17	0	24	51	0	0	7829	2	3	0	8852	3	8682	0	8285	6	11329	0	11268	4916
5000	23	16	0	3	2	0	0	8257	48	3	0	9723	2	9110	0	8766	9	11948	0	11984	5197
5250	14	13	0	6	5	0	0	8706	1	91	0	9757	2	9600	0	9290	13	12555	0	12495	5454
5500	12	26	0	5	12	47	4	9160	2	12	0	10206	22	10030	3	9732	298	13468	0	13042	6016
5750	26	19	0	41	2	0	0	9621	23	1	0	10622	0	10462	1	10286	7	13773	0	13680	6009
6000	11	14	0	4	2	0	92	10079	3	5	0	11076	2	10905	0	10774	6	14366	15	14270	6281
6250	17	12	0	3	5	3	0	10547	2	1	0	11517	3	11388	0	11260	7	14979	0	14879	6557
6500	18	18	0	7	0	1	0	11012	2	2	0	11955	2	11838	0	11752	8	15585	0	15512	6853
6750	13	13	0	5	0	0	0	11444	6	2	0	12394	4	12289	0	12264	6	16195	0	16075	7084
7000	17	3	0	3	1	0	0	11912	6	2	0	12870	1	12782	0	12755	6	16798	0	16693	7374
7250	40	0	0	3	2	0	0	12366	1	1	0	13330	3	13235	0	13297	15	17410	1	17294	7621
7500	13	3	0	19	4	0	0	12804	24	1	0	13897	101	13723	0	13802	11	18021	0	17905	7908
7750	22	11	0	69	100	0	0	13274	2	0	0	14210	2	14202	0	14297	9	18615	0	18509	8170
8000	16	9	0	18	1	0	0	13711	2	3	0	14676	2	14658	223	14749	9	19237	0	19108	8450
8250	13	8	0	20	1	0	0	14166	250	1	0	15135	3	15126	0	15207	554	20160	0	19727	9038
8500	13	15	0	31	14	0	0	14636	4	124	0	15620	13	15604	0	15657	22	20448	0	20316	8985
8750	54	18	0	11	1	0	0	15091	5	1	0	16078	20	16057	0	16121	7	21042	0	20948	9251
9000	25	12	0	21	3	0	0	15558	4	1	0	16539	2	16508	0	16591	6	21661	0	21532	9535
9250	16	18	0	3	1	0	0	16010	23	4	0	16986	1	16966	0	17023	7	22249	0	22134	9799
9500	24	12	0	3	2	209	0	16475	3	4	0	17547	101	17650	0	17478	7	22865	0	22818	10061
9750	19	104	0	38	102	0	0	16900	2	2	0	17897	2	17906	0	17992	34	23481	0	23362	10401
10000	21	15	0	2	0	14	84	17370	3	3	0	18365	1	18358	0	18404	7	24091	0	23969	10638
10250	40	10	0	6	4	0	0	17832	9	3	0	18827	4	18831	0	18811	8	24696	0	24574	10880
10500	19	10	0	2	2	3	0	18319	6	3	0	19271	3	19366	1	19204	7	25308	3	25186	11156
10750	19	17	0	2	2	0	0	18755	101	1	0	19735	3	19762	0	19665	6	25889	0	25803	11407
11000	22	20	0	3	1	1	0	19155	3	1	0	20191	4	20222	0	20118	7	26515	0	26387	11742
11250	25	18	0	5	7	1	0	19626	2	2	0	20667	1	20715	0	20522	15	27864	0	27033	12728
11500	17	14	0	3	1	0	0	20093	3	1	0	21121	4	21137	0	20962	7	27814	0	27602	13709
11750	38	10	0	34	105	0	0	20534	3	1	0	21694	102	21604	0	21458	35	28377	0	28208	12544
12000	23	15	0	2	1	0	1	20976	2	126	0	22021	4	22096	3	21890	7	29408	0	28807	12768
12250	15	15	0	11	1	0	0	21446	1	4	0	22469	2	22552	0	22400	835	30726	0	29421	13363
12500	17	19	0	1	0	1	0	21882	101	5	0	22918	4	23024	0	22865	7	30380	0	30042	13371
12750	24	166	0	5	0	1	0	22425	2	2	0	23350	6	23546	0	23275	8	30762	0	30665	17608
13000	23	16	0	5	3	0	1	22919	2	1	0	23860	7	23900	0	23710	61	31380	0	31232	14197
13250	121	23	0	4	1	0	0	23581	2	5	0	24292	2	24340	0	24151	8	31976	0	31844	14222
13500	22	18	0	8	1	0	0	23753	1	3	0	24730	2	24809	0	24533	7	32690	1	32455	14767
13750	19	22	0	62	103	3	1	24180	6	2	0	25294	105	25290	0	24969	36	33199	0	33044	14932
14000	21	16	0	17	1	0	102	24610	100	4	0	25629	1	25709	0	25402	8	33853	0	33664	14987
14250	28	24	0	18	2	0	0	25066	2	6	0	26093	5	26190	0	25846	7	34396	0	34333	15199
14500	28	18	0	11	1	0	0	25492	0	4	0	26519	0	26651	0	26343	7	35013	0	34867	15485
14750	123	23	0	7	1	0	0	25929	2	1	0	26962	2	27103	0	26812	6	35615	0	35487	15729
15000	21	15	0	6	1	0	4	26399	3	4	0	27427	3	27617	0	27253	7	36230	0	36081	16011
15250	27	20	0	4	3	1	0	26859	1	9	0	27886	6	28150	0	27793	8	36817	0	37202	16287
15500	30	23	0	4	0	1	0	27358	45	4	0	28339	4	28649	0	28226	8	37435	0	37690	16569
15750	24	16	0	34	103	0	1	27727	104	28	0	28897	101	29107	0	28648	36	38037	0	38643	16831
16000	22	26	0	3	1	0	1	28130	3	3	0	29248	2	29528	6	29073	58	38858	0	38520	17122
16250	125	19	0	4	0	1	0	28528	28	1	0	29726	2	29898	0	29581	32	39260	3	39127	17369
16500	27	22	0	2	2	0	0	28933	607	1	0	30310	4	30432	1	30023	7	39842	1	39723	17633
16750	22	24	0	2	2	0	0	29385	1	4	0	30700	5	30896	0	30423	8	40465	0	40316	17899
17000	21	26	0	2	2	0	0	29781	0	1	0	31243	2	31308	0	30890	6	41071	0	40939	18170
17250	28	25	0	3	2	0	0	30172	3	3	0	31671	2	31813	0	31323	59	41689	0	41685	18451
17500	33	19	0	2	1	0	0	30595	15	2	0	32106	3	32270	0	31899	7	42316	0	42168	18712
17750	124	17	0	29	104	5	0	30954	1	1	0	32685	109	32713	0	32496	37	42979	0	42747	18976
18000	33	19	0	7	1	1	5	31412	5	1	0	32981	3	33187	1	32668	11	43608	0	43391	19259
18250	25	20	0	3	0	0	1	31804	1	5	0	33385	2	33582	0	33042	1152	45326	0	43970	19984
18500	29	24	0	3	1	0	1	32283	3	157	0	33853	1	34024	0	33462	6	44741	0	44578	19809
18750	35	147	0	3	3	0	0	32730	3	5	0	34416	3	34517	0	33927	10	45373	1	45173	20071
19000	27	23	0	0	0	0	0	33151	101	6	0	34878	1	35019	0	34399	7	46165	0	45786	20801
19250	105	23	0	1	1	1	0	33716	3	3	0	35225	3	35612	0	35074	6	46801	0	46417	20615
19500	14	34	0	0	0	0	0	34185	0	5	0	35640	2	36106	1	35284	8	47185	0	47010	20890
19750	12	28	0	73	104	0	2	34656	1	11	0	36434	105	36583	3	35720	34	47767	0	47592	21153
20000	17	26	0	2	3	1	0	35095	0	1	0	36541	2	37109	124	36178	8	48386	0	48217	21420
20250	39	25	0	2	3	0	1	35414	1	6	0	36945	4	37599	0	36605	7	48950	0	48830	21681
20500	36	24	0	3	0	0	0	35835	1	3	0	37408	2	38044	0	37149	6	49553	0	49433	22076
20750	129	28	0	0	1	0	0	36193	103	3	0	37856	3	38628	1	37555	7	50186	0	50043	22410
21000	26	23	0	1	0	0	1	36603	1	3	0	38325	6	38962	0	37990	7	50774	0	50623	22666
21250	86	33	0	16	50	216	1	37036	15	2	0	38842	53	39549	0	38436	105	51377	0	51517	22840
21500	27	26	0	2	3	0	0	37682	3	5	0	39203	2	39980	0	38900	7	51982	0	52276	23078
21750	36	122	0	97	105	3	2	38733	3	15	0	39950	102	40712	3	39447	38	52590	0	52508	23325
22000	30	30	0	3	0	0	141	38524	1	3	0	40352	3	41001	0	39835	6	53199	0	53088	23602
22250	105	24	0	6	11	2	0	38841	101	1	0	40701	8	41551	0	40339	57	53822	1	55594	23854
22500	24	35	0	3	3	0	0	39586	0	3	0	41161	1	42082	0	40741	8	54444	0	63113	24135
22750	38	31	0	3	0	0	0	40416	7	4	0	41643	2	42897	0	41177	7	55010	0	54879	24406
23000	31	30	0	4	0	0	0	40164	4	2	0	42073	1	43741	0	41654	7	55617	0	55488	24662
23250	27	27	0	3	0	0	0	40672	4	5	0	42639	1	43872	0	42202	7	56249	0	56094	24936
23500	26	33	0	2	0	1	0	41152	2	2	0	43003	3	44067	0	42528	6	57108	0	56665	25240
23750	135	25	0	102	102	1	0	41689	2	3	0	43800	103	44453	0	43005	8	57643	0	57328	25499
24000	35	35	0	1	2	0	0	42226	103	2	0	43869	2	44923	138	43440	36	58088	0	58124	25747
24250	40	33	0	4	2	0	0	42712	4	8	0	44249	2	45424	0	44067	6	59304	0	58517	26024
24500	30	30	0	8	7	0	0	43171	2	5	0	44719	7	45884	0	45329	32	59372	0	59121	26308
24750	32	190	0	3	2	0	0	43638	4	4	0	45193	4	46285	0	45868	6	59912	0	59745	26581
25000	23	66	0	4	2	0	0	44072	5	123	0	45705	3	46735	1	45187	6	60485	0	60414	26842
25250	136	41	0	4	0	0	3	44542	9	5	0	46236	1	47204	4	46262	8	61107	0	60938	27106
25500	44	33	0	4	1	0	0	44938	9	11	0	46731	3	47784	0	46185	6	61728	0	61668	27384
25750	25	43	0	102	106	4	0	45429	29	7	0	47327	102	48195	0	46538	7	62320	1	62586	27722
26000	37	28	0	4	0	0	0	45872	7	7	0	47747	4	48701	0	46951	36	63080	0	64426	27917
26250	33	35	0	3	1	1	3	46214	6	7	0	48253	2	49221	0	47567	7	63736	0	63491	28197
26500	36	35	0	3	1	0	0	46652	4	4	0	48722	0	50582	0	48972	7	64138	0	63992	28460
26750	137	43	0	2	0	1	0	47035	6	4	0	49230	0	50246	0	49036	8	64739	0	64558	28756
27000	33	40	0	4	1	0	0	47447	4	4	0	49740	0	50848	0	49032	6	65303	0	65473	28999
27250	209	28	0	3	4	0	0	48078	107	6	0	50597	0	51338	0	49624	59	65916	1	65802	29279
27500	279	25	0	2	2	0	0	49634	3	3	0	53888	6	51739	0	50002	1904	68259	0	66389	30158
27750	343	13	0	110	110	0	0	51623	9	4	0	51561	104	52138	1	50481	6	67408	0	66989	29826
28000	401	24	0	4	14	1	0	49378	2	2	0	51523	13	52636	0	50921	51	67797	1	67637	30097
28250	541	33	0	0	3	0	0	50026	6	136	0	52370	2	54392	6	51420	56	69085	0	68244	30359
28500	354	38	0	2	1	0	0	50533	5	0	0	52818	5	56320	0	52068	6	69885	1	68852	30633
28750	345	39	0	2	3	0	0	50949	5	3	0	52909	2	54078	0	52379	7	69606	0	69600	30911
29000	359	28	0	2	2	0	0	51440	102	1	0	54032	1	54433	0	52633	57	70381	0	70079	31180
29250	272	44	0	3	2	0	0	51913	4	0	0	53950	2	54958	0	53145	7	70826	0	70904	31435
29500	268	46	0	4	0	0	0	52458	4	2	0	54561	1	55550	0	53895	7	71420	0	71313	31698
29750	456	37	0	106	104	107	0	53061	1	1	0	55252	102	55988	0	61183	6	72025	10	73743	31975
