Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	33	109	0	8	2	0	131	54	36	204	7	38	83	2	99	48	77	306	0	246	9
500	14	2	0	7	13	0	5	407	13	7	0	271	112	237	4	370	36	907	0	850	246
750	20	3	0	0	1	0	0	752	30	2	0	448	51	375	0	663	20	1517	0	1481	471
1000	28	1	1	15	25	5	0	1096	6	0	0	601	152	525	1	965	21	2162	216	2083	687
1250	13	0	0	2	0	0	0	1492	53	0	0	757	75	661	0	1293	57	2827	0	2742	904
1500	9	3	0	0	0	1	1	1921	0	1	0	958	42	886	0	1601	24	3387	0	3327	1127
1750	1	5	0	0	0	0	1	2337	43	7	0	1105	52	1032	3	1898	99	4062	0	3950	1342
2000	9	1	0	13	6	1	35	2411	0	0	0	1285	58	1244	0	2191	11	4657	0	4560	1564
2250	9	58	1	3	0	0	0	2754	89	0	0	1502	43	1372	0	2521	6	5271	0	5211	2504
2500	3	0	0	0	46	0	0	3160	8	0	0	1641	61	1528	2	2875	144	5962	0	5799	2004
2750	11	0	4	0	4	5	0	3364	0	9	0	1859	2	1737	0	3139	12	6531	0	6453	2241
3000	1	4	0	7	0	0	0	3703	0	0	0	1981	0	1881	0	3522	7	7204	0	7031	2460
3250	3	1	0	2	0	0	0	4089	2	0	0	2095	0	2034	0	3877	10	7884	1	7675	2673
3500	12	9	0	17	45	86	6	4726	9	1	0	2330	46	2230	1	4325	19	8463	0	8285	3477
3750	2	3	0	0	7	0	0	4949	0	1	1	2477	1	2358	0	5045	178	9194	0	8916	5667
4000	1	1	0	1	0	0	0	5608	0	1	0	2649	0	2564	76	5284	7	9712	0	9555	6317
4250	9	5	0	1	1	4	0	6035	208	6	0	2862	0	2803	0	5947	8	10252	0	10164	4723
4500	0	1	1	11	43	0	0	6753	0	0	0	3095	46	2996	0	6592	11	10911	0	11154	3881
4750	7	0	0	0	0	0	0	8512	0	0	0	3188	2	3149	0	7274	6	11574	0	11432	4079
5000	12	3	0	2	0	0	1	8318	106	0	0	3434	0	3326	0	7930	7	12142	0	12041	4333
5250	7	124	0	0	1	0	0	8904	0	1	0	3674	0	3595	0	9043	7	12791	2	12655	4554
5500	5	2	0	42	16	68	0	9479	0	0	0	4044	15	3997	1	10062	261	13728	0	13326	4778
5750	14	3	0	0	0	6	0	9523	16	0	0	4482	0	4554	0	10530	12	14686	0	13882	5101
6000	3	2	0	0	7	0	3	10075	0	63	0	4971	1	4911	1	10462	6	15007	0	14520	5309
6250	1	1	0	0	0	0	0	11191	0	1	0	5478	0	5425	0	10799	6	16088	0	15173	5490
6500	6	0	0	0	0	0	0	11038	0	0	0	5880	0	5919	0	11294	12	16279	2	15750	5823
6750	3	2	0	3	1	0	0	11917	2	0	0	6382	1	6323	0	12094	6	16536	1	16383	5870
7000	2	2	1	2	0	0	0	12250	0	0	0	6781	1	6831	0	12392	7	17028	1	18593	6127
7250	16	1	0	1	5	0	0	12869	0	0	0	7188	1	7156	0	12876	14	17642	0	19229	6469
7500	4	1	0	36	42	4	0	13190	16	1	1	7667	98	7615	0	13540	6	18287	0	18186	6556
7750	6	2	0	2	0	0	0	13418	0	1	0	7921	0	7900	0	14223	11	18929	0	19131	6845
8000	23	3	0	6	16	0	0	14131	3	0	0	8198	13	8241	87	14076	10	19514	0	19363	7009
8250	3	6	0	0	6	0	0	14188	282	0	0	8528	1	8879	0	14666	367	20300	0	19986	7426
8500	4	0	0	0	0	0	0	15052	0	0	0	8804	0	8698	0	15062	7	20788	0	20676	7507
8750	16	5	0	1	0	0	0	15186	0	0	0	9125	0	9304	0	15505	11	21376	0	21233	7815
9000	3	1	0	0	0	4	0	15655	0	0	0	9430	0	9527	0	15910	0	22055	0	22089	7981
9250	8	5	0	1	0	0	0	16340	92	0	0	9723	0	9638	0	16367	0	22782	0	22471	8248
9500	5	5	0	33	50	8	0	16775	0	99	0	10106	94	10238	0	16819	44	23407	0	30506	8384
9750	5	3	0	2	0	0	1	16814	0	1	0	10290	1	10118	0	17402	0	24000	0	23808	8578
10000	8	1	0	3	1	0	129	17549	0	0	0	10601	0	10464	1	17776	6	24809	0	24322	8897
10250	24	5	0	0	0	0	0	18052	1	0	0	10924	0	10767	0	18438	0	25615	0	24948	9033
10500	7	1	1	4	1	0	0	18219	0	0	0	11227	1	11138	0	18829	0	26743	0	25526	9363
10750	9	2	0	8	0	0	2	19015	87	0	0	11498	0	11460	0	19134	4	26932	0	26174	9478
11000	3	79	0	9	0	0	0	19070	1	0	0	11818	0	11620	0	19618	0	27286	0	26888	9680
11250	5	148	0	3	0	0	0	20072	1	0	0	12070	0	11908	0	20217	4	27650	0	27375	9907
11500	5	12	0	4	3	0	0	20122	0	0	0	12415	3	12186	0	21527	39	28270	0	28052	10171
11750	25	1	0	134	109	0	0	20796	0	0	0	12865	114	12503	1	21044	0	35001	0	30995	10360
12000	11	2	0	55	4	0	0	22017	1	0	0	13116	0	12819	121	21615	4	29530	0	29750	10570
12250	8	0	0	67	3	0	1	21447	1	0	0	13319	0	13087	0	22178	497	30396	0	29984	10905
12500	8	4	0	11	5	0	0	21854	88	0	0	13668	2	13338	0	22439	4	30823	0	30637	11033
12750	12	4	1	32	7	1	0	22402	7	38	0	13895	2	13623	0	23037	12	31303	1	31236	11307
13000	7	1	0	15	4	0	0	22833	0	0	0	14246	0	13973	0	23593	5	31958	1	36555	11466
13250	100	3	0	2	10	0	0	22820	0	29	0	14576	0	14226	0	24797	0	32641	0	33351	13063
13500	6	4	0	2	1	3	0	23910	0	1	0	15128	0	14501	0	24610	75	33177	0	32959	11941
13750	12	3	0	84	103	113	1	23518	1	0	0	15365	101	14778	0	25171	5	33859	0	34275	12146
14000	6	3	0	4	38	0	3	23924	105	0	0	15548	0	15088	0	25545	0	34436	0	34216	19534
14250	15	125	0	27	32	1	0	25385	2	0	0	15868	2	15365	0	26236	5	35052	1	34989	12707
14500	8	4	0	26	1	0	0	24871	1	1	0	16385	1	15631	1	26610	0	35626	0	36395	12873
14750	101	3	1	13	5	0	0	25673	7	0	0	16504	3	15884	0	27137	4	36429	0	36140	13235
15000	10	5	0	17	3	5	0	26342	0	0	0	17057	0	16165	0	27967	4	36925	0	36925	13387
15250	11	3	0	10	7	0	1	26612	0	0	0	17355	0	16408	0	27942	0	37500	1	37262	13616
15500	9	6	0	4	1	0	0	26838	0	1	0	17345	0	16724	0	28378	33	38470	0	37898	13902
15750	34	2	0	122	124	0	0	27716	93	1	0	19133	94	17022	0	29020	0	39152	0	45027	14069
16000	8	3	0	6	1	0	0	27547	0	68	0	18697	0	17283	3	30089	56	39951	0	39321	14292
16250	116	3	0	2	0	0	0	28242	28	0	0	18179	1	17520	0	31395	38	40739	1	39789	14500
16500	9	4	1	0	0	0	4	28534	745	6	0	18510	1	17851	6	31880	1	41178	0	40352	14889
16750	11	9	0	1	0	4	1	28708	0	1	0	18739	0	18141	0	31112	4	41464	0	41416	14945
17000	13	6	0	1	0	0	0	30179	0	0	0	19056	0	18642	0	32180	0	42068	0	45311	15206
17250	3	11	0	10	0	0	0	30274	0	0	0	19429	0	18811	0	31010	51	42676	0	42373	18000
17500	6	12	0	0	1	0	0	32352	14	0	0	19662	0	18893	0	32375	50	43320	0	42751	18575
17750	103	7	0	108	95	66	0	29791	0	0	0	19958	106	19280	1	32012	0	43784	0	43467	15787
18000	8	6	0	7	0	7	85	30608	0	1	0	20456	0	19519	0	32611	3	44341	0	44115	16314
18250	14	5	0	4	0	0	0	31083	0	0	0	19956	0	19762	0	32525	713	46295	0	44868	16248
18500	7	7	0	2	1	0	0	32047	0	0	1	20727	2	20007	0	33075	6	56911	0	45373	16406
18750	16	7	0	2	1	0	1	32385	0	3	0	21138	4	20295	1	33500	5	46166	0	46068	19420
19000	16	10	0	14	0	0	1	32831	92	5	0	21457	2	20593	3	34046	0	46875	0	46531	19791
19250	97	9	0	2	0	0	0	34891	0	79	0	21930	0	20864	1	34417	4	47773	0	49860	18727
19500	12	13	0	1	0	0	1	38231	0	1	1	21889	2	21090	0	35180	30	48236	1	48285	17731
19750	55	6	0	137	115	6	0	34892	49	1	0	22501	149	21515	0	35376	46	48856	0	48903	18827
20000	19	11	0	5	2	1	0	34774	6	0	0	22452	6	22608	4	35701	9	49529	1	49483	23775
20250	9	87	0	1	0	0	0	35173	1	1	0	22869	0	22471	0	36070	0	50459	0	49934	18015
20500	13	37	0	6	0	0	0	35453	0	1	0	22451	1	22807	0	37376	7	50836	0	58798	18232
20750	101	8	0	2	0	0	0	35735	92	0	0	22873	0	23194	1	41723	0	51456	0	57865	18499
21000	16	11	0	1	1	0	0	36366	2	0	0	23456	0	23295	0	37605	2	52048	0	52411	18702
21250	8	11	0	0	0	0	0	36902	0	0	0	24200	0	23581	0	38078	7	52736	0	54059	18839
21500	15	12	0	15	1	7	1	35958	2	0	0	24335	0	23927	0	40563	64	53262	0	68144	19177
21750	13	20	0	109	106	61	3	36454	7	0	0	24749	114	24452	0	39563	54	54180	0	56012	19855
22000	16	22	0	2	2	0	85	41773	3	0	0	24915	0	24105	0	42352	0	55340	0	54044	19576
22250	97	17	0	11	0	0	21	36996	33	0	0	25259	1	24910	53	41568	2	55770	0	56130	19808
22500	23	25	0	3	0	0	4	37729	4	106	0	25459	1	24998	0	43054	73	56334	0	56378	20258
