Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	13	7	0	27	16	0	7	90	29	171	42	83	62	1	66	50	160	260	0	241	0
500	16	0	0	20	26	4	0	409	31	1	0	258	43	137	0	368	71	895	0	850	243
750	11	0	0	17	13	2	1	759	25	1	0	450	16	353	0	671	42	1529	0	1472	467
1000	13	3	0	20	15	32	0	1107	24	2	0	627	15	575	0	943	6	2124	0	2061	685
1250	12	64	0	22	12	1	0	1393	38	16	0	782	14	745	0	1276	49	2858	0	2705	898
1500	24	0	0	15	11	1	0	1698	13	0	0	974	16	885	0	1581	9	3455	0	3292	1117
1750	22	0	1	18	13	0	0	2070	22	0	0	1232	14	1052	0	1858	81	4023	0	3925	1355
2000	26	0	0	44	30	39	0	2394	1	0	0	1996	32	1304	0	2152	7	4616	0	4528	1554
2250	3	0	0	2	0	0	33	2678	82	0	0	1495	0	1460	28	2431	15	5289	0	5131	1774
2500	25	0	0	25	40	1	0	2996	22	0	0	1665	27	1612	0	2726	150	5888	0	5776	2005
2750	23	1	0	4	0	0	0	3310	0	4	0	1812	1	1743	0	3072	6	6511	0	6347	2266
3000	46	0	0	25	26	1	0	3618	22	0	0	1960	24	1901	0	3355	7	7125	0	7088	2460
3250	1	0	0	6	0	0	0	3807	46	0	0	2058	1	2036	0	3681	6	7752	0	7589	2677
3500	8	0	0	30	30	4	0	4108	16	0	0	2288	30	2282	0	4019	14	8461	0	8243	2900
3750	42	1	0	0	5	1	0	4443	0	31	0	2432	0	2401	0	4347	197	9107	0	8853	3114
4000	0	0	1	44	47	37	1	4991	1	0	0	2600	50	2579	0	4792	35	9583	0	9464	3342
4250	0	34	0	0	0	0	39	5154	167	0	0	2773	0	2763	29	5220	28	10271	0	10950	3551
4500	53	1	0	0	2	0	0	5523	2	0	0	2902	0	2946	0	5809	11	10853	0	14403	3806
4750	0	0	0	0	0	0	0	6052	0	1	1	3208	0	3113	0	6246	22	11444	0	14711	4020
5000	0	0	0	44	75	1	0	6504	45	0	0	3689	44	3263	0	6823	6	12082	0	12030	4282
5250	46	1	0	0	0	0	0	8344	0	49	0	3584	0	3553	0	7450	7	14471	0	12913	4517
5500	0	1	0	5	3	0	1	9620	24	1	0	3825	4	3904	0	7970	239	14927	0	13554	4733
5750	0	40	0	5	0	0	0	9092	26	5	0	4231	0	3938	0	8502	13	14017	0	17294	4972
6000	95	22	0	54	47	46	0	9768	4	6	0	4628	48	4335	0	8974	10	14674	0	18536	5186
6250	0	1	0	0	8	0	2	10295	0	6	0	5038	1	4731	2	9536	6	15346	0	18639	5400
6500	0	0	0	0	0	0	0	10834	26	0	0	5436	0	5182	1	10019	11	16058	0	16134	5596
6750	7	7	0	6	11	0	2	11090	8	5	0	6259	7	5731	1	10573	13	16888	0	17063	5832
7000	0	0	0	45	43	0	0	11289	4	1	0	6536	43	6622	0	11074	6	17323	0	17114	6043
7250	1	3	0	4	0	0	41	11687	4	0	0	6890	1	6860	38	11471	7	17907	0	17496	7713
7500	93	1	0	0	0	1	0	12407	71	6	0	7212	1	7353	0	12834	12	18622	0	21467	8683
7750	11	0	0	3	13	0	0	12469	50	73	1	7928	5	7746	0	13450	8	19106	0	18760	7976
8000	1	49	0	93	109	0	0	12806	70	0	0	8163	93	8491	0	13936	7	19591	0	19371	8253
8250	4	3	0	0	0	0	0	13272	788	1	0	8410	0	8335	0	14364	231	24017	0	20146	8498
8500	105	0	0	0	0	0	0	13723	12	3	0	8642	0	8798	0	14198	0	21000	0	20547	8721
8750	24	3	0	0	5	0	0	14225	2	0	0	9318	0	9253	0	13985	0	21558	0	21178	9029
9000	119	3	0	0	0	1	0	15593	113	2	0	9539	0	9648	0	14576	7	22117	1	21815	8843
9250	1	3	0	0	0	0	0	15125	1	0	0	9867	0	9976	0	14749	6	22966	0	22491	8144
9500	11	5	0	0	0	0	0	16211	2	4	0	10302	1	10320	0	15144	4	23682	0	23106	8364
9750	7	2	0	0	0	0	0	16807	1	1	0	10742	0	10628	0	15567	2	23955	0	23738	8566
10000	9	7	0	98	108	0	27	16501	1	1	0	10906	88	10887	0	16440	0	24639	0	24415	8897
10250	0	23	0	0	0	2	0	200	0	1	0	139	0	189	0	210	0	307	0	416	108

